

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
082.569  000.267  000.059: require('telescope.sorters')
083.324  001.200  000.849: require('telescope.config')
084.200  000.039  000.039: require('plenary.window.border')
084.234  000.033  000.033: require('plenary.window')
084.266  000.031  000.031: require('plenary.popup.utils')
084.268  000.151  000.048: require('plenary.popup')
084.309  000.040  000.040: require('telescope.pickers.scroller')
084.347  000.038  000.038: require('telescope.actions.state')
084.386  000.038  000.038: require('telescope.actions.utils')
084.469  000.040  000.040: require('telescope.actions.mt')
084.476  000.088  000.048: require('telescope.actions.set')
084.563  000.045  000.045: require('telescope.config.resolve')
084.565  000.088  000.043: require('telescope.pickers.entry_display')
084.605  000.039  000.039: require('telescope.from_entry')
084.684  000.664  000.180: require('telescope.actions')
084.816  000.090  000.090: require('telescope.make_entry')
084.860  000.043  000.043: require('telescope.finders.async_static_finder')
084.973  000.032  000.032: require('plenary.class')
085.022  000.124  000.093: require('telescope._')
085.023  000.162  000.038: require('telescope.finders.async_oneshot_finder')
085.061  000.037  000.037: require('telescope.finders.async_job_finder')
085.064  000.378  000.046: require('telescope.finders')
085.192  000.038  000.038: require('telescope.debounce')
085.250  000.057  000.057: require('telescope.mappings')
085.294  000.044  000.044: require('telescope.pickers.highlights')
085.328  000.033  000.033: require('telescope.pickers.window')
085.404  000.037  000.037: require('telescope.algos.linked_list')
085.406  000.077  000.040: require('telescope.entry_manager')
085.441  000.035  000.035: require('telescope.pickers.multi')
085.448  000.384  000.100: require('telescope.pickers')
085.451  001.494  000.068: require('telescope.builtin.__lsp')
085.456  001.562  000.069: require('telescope.builtin')
086.029  000.128  000.128: require('vim.filetype.detect')
086.478  000.058  000.058: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/ftplugin/c.vim
087.079  000.026  000.026: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/ftplugin/c.lua
087.464  000.011  000.011: sourcing /opt/homebrew/Cellar/neovim/0.9.0/share/nvim/runtime/indent/c.vim
206.636  000.125  000.125: require('luasnip.loaders.from_lua')
206.722  000.075  000.075: require('luasnip.loaders.from_snipmate')
206.798  000.068  000.068: require('luasnip.loaders.from_vscode')
212.411  000.017  000.017: require('vim.fs')
212.503  000.071  000.071: require('null-ls.rpc')
213.145  000.057  000.057: require('vim.uri')
214.549  000.063  000.063: require('editorconfig')
214.801  143.658: opening buffers
215.269  000.469: BufEnter autocommands
215.277  000.008: editing files in windows
215.886  000.069  000.069: require('which-key.plugins')
215.931  000.043  000.043: require('which-key.plugins.registers')
215.994  000.061  000.061: require('which-key.mappings')
216.160  000.043  000.043: require('which-key.plugins.marks')
216.316  000.039  000.039: require('which-key.plugins.spelling')
216.412  000.049  000.049: require('which-key.plugins.presets')
216.459  000.045  000.045: require('which-key.plugins.presets.misc')
216.505  000.038  000.038: require('which-key.colors')
220.828  005.164: VimEnter autocommands
220.856  000.028: UIEnter autocommands
220.858  000.002: before starting main loop
226.016  005.158: first screen update
226.019  000.002: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.100  000.091: event init
000.273  000.173: early init
000.833  000.560: locale set
000.900  000.067: init first window
001.419  000.519: inits 1
001.434  000.016: window checked
003.724  002.289: parsing arguments
004.422  000.126  000.126: require('vim.shared')
004.579  000.053  000.053: require('vim._meta')
004.582  000.155  000.102: require('vim._editor')
004.585  000.336  000.054: require('vim._init_packages')
004.588  000.529: init lua interpreter
005.256  000.668: expanding arguments
005.297  000.041: inits 2
005.797  000.499: init highlight
